Local Repository ID,Zip Code (5-digit),Zip Code (9-digit),ADI_NATRANK,ADI_STATERANK,LAT,LONG,County
101,55407,554074563,44,5,44.938336658,-93.253066977,Hennepin County
102,56377,563771274,65,8,45.626310358,-94.218517962,Stearns County
103,55454,554544400,,,44.969890859,-93.243023279,Hennepin County
104,55416,554162527,41,5,44.947159383,-93.342940331,Hennepin County
105,56441,564411422,58,7,46.515679927,-93.969317404,Crow Wing County
106,56401,564013575,84,10,46.356658164,-94.191834623,Crow Wing County
107,56636,566368779,90,10,47.4042687,-93.832136251,Itasca County
108,56501,565013503,75,9,46.828817512,-95.792014268,Becker County
109,55063,550636026,63,8,45.810609093,-92.958571468,Pine County
110,56401,564013054,73,9,46.356658164,-94.191834623,Crow Wing County
111,55807,558072730,73,9,46.738434839,-92.170792851,Saint Louis County
112,55407,554071131,57,7,44.938336658,-93.253066977,Hennepin County
113,55987,559876435,51,7,44.046446657,-91.657486734,Winona County
114,55807,558072737,83,10,46.738434839,-92.170792851,Saint Louis County
115,55404,554043074,71,9,44.96102782,-93.255910853,Hennepin County
116,55104,551044201,70,9,44.954311297,-93.15670862,Ramsey County
117,55409,554091304,33,3,44.931164897,-93.280607362,Hennepin County
118,55404,554044515,55,7,44.96102782,-93.255910853,Hennepin County
119,55054,550545483,24,2,44.572488985,-93.355006708,Scott County
120,55404,554042923,49,6,44.96102782,-93.255910853,Hennepin County
121,55303,553035566,,,45.250885429,-93.414843121,Anoka County
122,55805,558051901,89,10,46.798431116,-92.097525202,Saint Louis County
