Local Repository ID,Zip Code (5-digit),Zip Code (9-digit),Established
101,55407,554074563,7/9/2021
102,56377,563771274,7/1/2021
103,55454,554544400,6/10/2021
104,55416,554162527,7/15/2022
105,56441,564411422,7/21/2022
106,56401,564013575,7/21/2022
107,56636,566368779,7/22/2022
108,56501,565013503,7/27/2022
109,55063,550636026,9/13/2022
110,56401,564013054,9/15/2022
111,55807,558072730,11/14/2022
112,55470,554071131,12/5/2022
113,55987,559876435,12/21/2022
114,55807,558072737,12/28/2021
115,55404,554043074,2/15/2021
116,55104,551044201,1/12/2023
117,55409,554091304,1/19/2023
118,55404,554044515,2/28/2023
119,55054,550545483,4/27/2022
120,55404,554042923,4/18/2023
121,55303,553035566,5/12/2022
122,55805,558051901,5/9/2022
